# A Time of War Companion - First Printing Corrected with Errata v1.1
# Vintage personal armor, First SLDF armor kit, and starter advanced implants.
# category;name;cost;mass kg;coverage;BAR/rating;notes
persarmor;Vintage Bulletproof Vest;500/100;3.1;Torso;1/4/0/2;p.176
implant;Additional Prosthetic Leg/Arm;100000;0;Implant;F/X-X-F/F;Add one extra prosthetic limb max 4, plus cost of limb, p.188
implant;Additional Enhanced Prosthetic Leg/Arm;200000;0;Implant;F/X-X-F/F;Add one extra enhanced prosthetic limb max 4, plus cost of limb, p.188
implant;Glide Wings;85000;0;Implant;E/X-X-E/E;Glide in atmosphere, +1 to Acrobatics/Free-Fall, wing BAR 2/2/1/1, p.188
implant;Flight Wings;115000;0;Implant;F/X-X-F/F;Glide or fly in atmosphere, +1 to Acrobatics/Free-Fall, wing BAR 4/4/3/3, p.188
prostenh;Prosthetic Enhancement - Laser;1000;0;Prosthetic;D/F-E-D/D;AP/BD 3E/2, range 5/11/25/60, 3 PPS, p.189
prostenh;Prosthetic Enhancement - Ballistic;500;0;Prosthetic;D/F-E-D/D;AP/BD 2B/2, range 1/3/5/10, shots 2, reload 10, p.189
prostenh;Prosthetic Enhancement - Dart Gun;750;0;Prosthetic;D/F-E-E/C;AP/BD 1B/1, range 1/2/3/5, may use injectable poisons or medications, p.189
prostenh;Prosthetic Enhancement - Needler;650;0;Prosthetic;E/F-E-E/E;AP/BD 1B/3BS, range 1/3/6/10, burst 5, recoil -1, p.189
prostenh;Prosthetic Enhancement - Shotgun;600;0;Prosthetic;D/X-E-D/D;AP/BD 1B/4S, range 1/3/6/8, recoil -1, p.189
prostenh;Prosthetic Enhancement - Sonic Stunner;800;0;Prosthetic;E/F-F-E/B;AP/BD 0/3D, range 1/2/3/5, 2 PPS, p.189
prostenh;Prosthetic Enhancement - Submachine Gun;600;0;Prosthetic;D/F-E-D/D;AP/BD 2B/1, range 2/5/10/20, burst 4, jam on fumble, p.189
prostenh;Prosthetic Enhancement - Laser Sight;400;0;Prosthetic;D/F-F-D/C;+1 to weapon attacks with limb, combines with another weapon enhancement as one item, p.189
prostenh;Prosthetic Enhancement - Blade;400;0;Prosthetic;D/D-E-D/D;AP/BD 1M/1, p.189
prostenh;Prosthetic Enhancement - Needle;500;0;Prosthetic;D/F-E-D/D;AP/BD 0M/1, provides one dose of injectable poison or medication, p.189
prostenh;Prosthetic Enhancement - Shocker;650;0;Prosthetic;D/X-X-E/D;AP/BD 0E/3D, 3 PPS, p.189
prostenh;Prosthetic Enhancement - Vibroblade;1000;0;Prosthetic;E/F-F-E/E;AP/BD 4M/2, 1 PPS, p.189
prostenh;Prosthetic Enhancement - Climbing Claws;700;0;Prosthetic;D/F-F-E/D;+1 to Climbing per two limbs, rounded up, p.189
prostenh;Prosthetic Enhancement - Electromagnet;1200;0;Prosthetic;E/X-X-E/B;15 kg max, +1 Climbing per two limbs on magnetic surfaces, p.189
prostenh;Prosthetic Enhancement - Grappler;750;0;Prosthetic;D/E-F-E/C;150 kg max, +2 to ensnare or climb, p.189
prostenh;Prosthetic Enhancement - Holster/Cargo;200;0;Prosthetic;D/X-D-C/C;+2 to Prestidigitation/Quickdraw with holster, p.189
prostenh;Prosthetic Enhancement - Lockpick;550;0;Prosthetic;D/E-E-D/D;+1 to Security Systems, p.189
prostenh;Prosthetic Enhancement - Microcomputer;350;0;Prosthetic;E/F-F-D/B;+1 to Computers, cannot combine with Electromagnet, p.189
prostenh;Prosthetic Enhancement - Prosthetic Leg MASC;2500;0;Prosthetic;E/X-X-F/E;Sprint x2 once per two turns, requires two prosthetic legs, p.189
cosmetic;Cosmetic Beauty Enhancement;15000;0;Implant;E/C-C-C/A;+1 CHA, +1 to Acting, Negotiation, and Leadership, Attractive trait, p.191
cosmetic;Cosmetic Horror Enhancement;15000;0;Implant;E/E-E-E/A;+1 CHA, +1 Interrogation or Acting to intimidate, Unattractive trait, p.191
cosmetic;Cosmetic Tail Prosthetic;15000;0;Prosthetic;E/D-F-E/B;+1 to Acrobatics, whip AP/BD 0M/1+BOD, tail BAR 0/0/0/0, p.191
cosmetic;Cosmetic Wing Prosthetic;60000;0;Prosthetic;E/D-F-E/B;Glide in atmosphere at half speed, +1 to Acrobatics/Free-Fall, wing BAR 1/1/0/0, p.191
cosmetic;Cosmetic Claws;200;0;Prosthetic;E/D-F-E/B;Additional cost for retractable claw enhancement, AP/BD 1M/1, p.191
cosmetic;Centaur Adaptation Kit;800000;0;Kit;E/F-F-F/B;Half movement, +1 BOD while worn, adds two additional legs, p.191
cosmetic;Mermaid Adaptation Kit;750000;0;Kit;E/F-F-F/D;Includes Gill Implant, +2 to Swimming, crawling movement only on land, p.191
cosmetic;Naga Adaptation Kit;550000;0;Kit;E/F-F-F/D;One-quarter movement, no sprint or jump, p.191
practice;Infantry Practice Mesh;1000;0;Practice;E/E-E-E/C;Sensor mesh and ultra-light exo-frame for field simulation combat, p.192
practice;Vehicular Inhibitor Kit;1500;0;Practice;D/D-F-E/D;Software package for Mechs, vehicles, and battle armor, p.192
practice;Vehicular Holo-Projector;75000;0;Practice;E/E-X-F/D;Attaches to drone vehicle controlled by field simulator server, p.192
practice;Field Simulation Server;200000;0;Practice;D/D-F-E/D;Interprets field simulation combat, max 36 units per server, p.192
practice;Console Interrupt Kit;500;0;Practice;D/D-D-D/B;Overrides cockpit and controls for parked simulator operation, p.192
practice;Null-Network Server;10000;0;Practice;D/D-D-D/B;Network for console interrupt kits, max 12 units per server, p.192
practice;Simulator Pod, Basic;12000;0;Practice;C/A-B-B/B;Full enclosure with basic vehicle or aerospace control simulation, p.192
practice;Simulator Pod, Enhanced;60000;0;Practice;C/A-B-B/B;Full enclosure with immersive cockpit heat and impact motion effects, p.192
practice;Pod Command Server;65000;0;Practice;C/A-B-B/B;Network for simulator pods, max 24 units per server, p.192
